Species;Life span;LengthU_MEAN
Pterocles orientalis;;34,00
Aegolius funereus;15;25,00
Asio flammeus;21;38,00
Asio otus;18;36,00
Athene noctua;11;22,00
Bubo bubo;27;675,00
Bubo scandiacus;9;595,00
Glaucidium passerinum;6;165,00
Otus scops;7;195,00
Strix aluco;22;38,00
Strix nebulosa;16;675,00
Strix uralensis;24;61,00
Surnia ulula;16;375,00
Tyto alba;18;34,00
Microcarbo pygmaeus;;50,00
Phalacrocorax aristotelis;31;725,00
Phalacrocorax carbo;27;90,00
Morus bassanus;37;935,00
