"","Species","LengthU_MEAN","Clutch_MEAN","Life span","cluster_id"
"373","Dendrocopos leucotos",25,4,16,3
"374","Dendrocopos major",22.5,5.5,13,3
"375","Dendrocopos syriacus",22.5,5.5,11,3
"376","Dryobates minor",14.5,5,10,3
"377","Dryocopus martius",46,5,14,3
"378","Jynx torquilla",16.5,8.5,7,2
"379","Leiopicus medius",21,5.5,7,3
"380","Picoides tridactylus",21.5,4,11,3
"381","Picus canus",25.5,8,8,2
"382","Picus viridis",32,6,15,3
"383","Podiceps auritus",34.5,4.5,7,3
"384","Podiceps cristatus",48.5,4,19,3
"385","Podiceps grisegena",45,4,11,3
"386","Podiceps nigricollis",31,3.5,13,3
"387","Tachybaptus ruficollis",27,5,17.5,3
"388","Hydrobates castro",20,1,11,3
"389","Hydrobates leucorhous",20.5,1,31,1
"390","Hydrobates pelagicus",16,1,33,1
"391","Pelagodroma marina",20.5,1,10,3
"392","Bulweria bulwerii",27,1,23,3
"393","Calonectris borealis",45.5,1,25,1
"394","Fulmarus glacialis",47.5,1,44,1
"395","Puffinus assimilis",27.5,1,6,3
"396","Puffinus mauretanicus",34,1,12,3
"397","Puffinus puffinus",34,1,51,1
"398","Puffinus yelkouan",36,1,51,1
"399","Myiopsitta monachus",29,6.5,22,3
"400","Psittacula krameri",40,3.5,34,1
"401","Aegolius funereus",25,5,15,3
"402","Asio flammeus",38,6,21,3
"403","Asio otus",36,4,18,3
"404","Athene noctua",22,3.5,11,3
"405","Bubo bubo",67.5,3,27,1
"406","Bubo scandiacus",59.5,6,9,3
"407","Glaucidium passerinum",16.5,5.5,6,3
"408","Otus scops",19.5,4.5,7,3
"409","Strix aluco",38,3.5,22,3
"410","Strix nebulosa",67.5,4.5,16,1
"411","Strix uralensis",61,3,24,1
"412","Surnia ulula",37.5,8,16,2
"413","Tyto alba",34,5.5,18,3
"414","Phalacrocorax aristotelis",72.5,3,31,1
"415","Phalacrocorax carbo",90,3.5,27,1
"416","Morus bassanus",93.5,1,37,1
